gtaa,wikidata,label,description,lookup,bengwiki
81919,Q920,J. Bernlef,"schrijver, dichter, vertaler","ஜெ. பெர்ன்லெஃப்,Bernlef,Й. Бернлеф,J. Bernlef,J・ベルンレフ,S. den Haan,Cas de Vries,Hendrik Jan Marsman,Хендрик Ян Марсман,Cas den Haan,J. ベルンレフ,J. Grauw,Ronnie Appelman,J. Bernlef J. Bernlef - Bernlef, J. ",Bernlef
134822,Q927,Harry Mulisch,schrijver,"Harry Mulisch,ஆரி முலிச்,Հարի Մուլիշ,Гаррі Муліш,हैरी मुलिश,هاري موليسش,Гары Муліш,哈里·穆里施,Χάρι Μούλις,하리 뮐리스,Hari Muliš,هری مولیش,ハリー・ムリシュ,Harijs Mulišs,הארי מוליש,Хари Мулиш,Хари Мюлиш,Henricus Mulisch,Харри Мулиш,Harry Kurt Victor Mulisch Harry Mulisch - Mulisch, Harry ","Mulisch,_Harry"
95497,Q13407,Willem Duys,radio- en tv-presentator,"Willem Duys Willem Duys - Duys, Willem Willem Duys",Willem_Duys
86655,Q17163,Johan Cruijff,"lid RvC Ajax, oprichter Cruyff Foundation en University, voetbaldeskundige, trainer, voetballer","요한 크라위프,യൊഹാൻ ക്രൈഫ്,Йохан Кройф,Γιόχαν Κρόιφ,ইয়োহান ক্রুইফ,Johan Cruijff,Ýohan Kruiýf,Yohan Kroyff,يوهان كرويف,یوهان کرایف,Јохан Кројф,Кройф, Йохан,யோகன் கிரையொஃப்,Йогьан Кройф,โยฮัน ไกรฟฟ์,იოჰან კრუიფი,Іохан Кройф,Йоган Кройф,约翰·克鲁伊夫,Ioannes Cruyff,Յոհան Կրոյֆ,یۆھان کرۆیف,Johan Cruyff,Johans Kruifs,יוהאן קרויף,ヨハン・クライフ,Hendrik Johannes Cruijff,Cruyff,Йохан Кройф Johan Cruijff - Cruijff, Johan ","Cruijff,_Johan"
86655,Q17163,Johan Cruyff,"lid RvC Ajax, oprichter Cruyff Foundation en University, voetbaldeskundige, trainer, voetballer","요한 크라위프,യൊഹാൻ ക്രൈഫ്,Йохан Кройф,Γιόχαν Κρόιφ,ইয়োহান ক্রুইফ,Johan Cruijff,Ýohan Kruiýf,Yohan Kroyff,يوهان كرويف,یوهان کرایف,Јохан Кројф,Кройф, Йохан,யோகன் கிரையொஃப்,Йогьан Кройф,โยฮัน ไกรฟฟ์,იოჰან კრუიფი,Іохан Кройф,Йоган Кройф,约翰·克鲁伊夫,Ioannes Cruyff,Յոհան Կրոյֆ,یۆھان کرۆیف,Johan Cruyff,Johans Kruifs,יוהאן קרויף,ヨハン・クライフ,Hendrik Johannes Cruijff,Cruyff,Йохан Кройф Johan Cruyff - Cruijff, Johan ","Cruijff,_Johan"
158216,Q24917,Joop Stokkermans,pianist,"Joop Stokkermans Joop Stokkermans - Stokkermans, Joop Joop Stokkermans",Joop_Stokkermans
111477,Q31719,Mariska Hulscher,presentatrice,"Mariska Hulscher,Anna Margaretha van der Klis Mariska Hulscher - Hulscher, Mariska ","Hulscher,_Mariska"
105875,Q36771,Herman Heijermans,toneelschrijver,"היארמנס, הרמן,Герман Гейерманс,Herman Heijermans,Герман Геєрманс,Heijermans,Гейєрманс Герман,Герман Гейєрманс,Гейерманс Герман,Samuel Falkland,Koos Habbema Herman Heijermans - Heijermans, Herman ","Heijermans,_Herman"
165834,Q46104,Leo Visser,schaatser,"Leo Visser,Лео Виссер,Фиссер,Фиссер Л.,Лео Фиссер,Visser,Фиссер Лео,Фиссер, Лео Leo Visser - Visser, Leo ","Visser,_Leo"
165807,Q46424,Henk Visser,atleet,"Henk Visser Henk Visser - Visser, Henk ","Visser,_Henk"
100241,Q55621,Géza Frid,"componist, dirigent en pianist","Frid Géza,Géza Frid Géza Frid - Frid, Géza ","Frid,_G%C3%A9za"
87863,Q62617,Armin van Buuren,diskjockey,"آرمین ون بورن,ארמין ואן בורן,Армин Ван Бурен,Армин ван Бурен,أرمين فان بيورن,아르민 판 뷔런,Armins van Bīrens,Άρμιν βαν Μπιούρεν,アーミン・ヴァン・ブーレン,არმინ ვან ბიურენი,Армин ван Бюрен,阿明·范·比伦,Армин Ван Бюрен,Արմին վան Բյուրեն,Armin van Buuren,Армін ван Бюрен,Армін ван Бюрэн,આરમીન વન બ્યુરન,Армин ван Бјурен,Армин Бююрен,아민 반 뷰렌,10 Years,ارمین ون بیورن,Shivers,Armin,არმინ ვან ბურენი,آرمین ون بیورن,Van Būrens,Armania,Armin Van Buuren,Армин Бурен,Armin van Burren,Rising Star,Бююрен, Армин ван,ارمین ون بورن,阿曼·凡·布倫,Бьюрен, Армин ван,Бурен Армин ван,Buuren, Armin van,Gaio,Armin van Buuren,Problem Boy,A State Of Trance,阿曼凡布倫,Perpetuous Dreamer,Музиканти,ארמין ואן ביורן,Бюрен, Армин ван,The Shoeshine Factory,Ван Бюрен Армін,Армин ван Бурен,Бурен, Армин ван,Armin van buren,Армин ван Бююрен,Бююрен,Бююрен Армин,Бююрен Армин ван,阿曼·凡布倫,State of Trance,Бююрен, Армин,Ван Бююрен, Армин,Bīrens,阿曼·凡布伦,AVB,Армин ван Бьюрен Armin van Buuren - Buuren, Armin van Armin van Buuren",Armin_van_Buuren
119788,Q62845,Jeroen Krabbé,acteur,"ジェローン・クラッベ,ירון קרבה,جروئن کرابا,Jeroen Krabbe,Jeroen Krabbé,예룬 크라베,Йерун Краббе,예로엔 크라베,Jeroen Aart Krabbé,ירן קרבה,ירן קרביי,Краббе, Йерун,ירון קראבה,제로엔 크라베,Jeroen Krabbe,Krabbe,ירון קרביי,Jeroen krabbe Jeroen Krabbé - Krabbé, Jeroen Jeroen Aart Krabbé",Jeroen_Krabb%C3%A9
92165,Q82020,Daphne Deckers,fotomodel/presentatrice,"Daphne Deckers,Деккерс, Дафне,Декерс,Декерс, Дафне,Дафне Деккерс,Daphne Dekkers,Декерс, Дафни Daphne Deckers - Deckers, Daphne Daphne Muriël Deckers",Daphne_Deckers
151728,Q82246,Katja Schuurman,actrice,"Katja Schuurman,Схюрман, Катя,Katja Römer-Schuurman,Katja Roemer-Schuurman,Katja Schuurman,Katja Romer-Schuurman,Катя Схюрман,Katja Römer-Schuurman Katja Schuurman - Schuurman, Katja Katja Römer-Schuurman",Katja_Schuurman
209773,Q82246,Katja RömerSchuurman,actrice,"Katja Schuurman,Схюрман, Катя,Katja Römer-Schuurman,Katja Roemer-Schuurman,Katja Schuurman,Katja Romer-Schuurman,Катя Схюрман,Katja Römer-Schuurman Katja Römer-Schuurman - Römer-Schuurman, Katja ","R%C3%B6mer-Schuurman,_Katja"
98084,Q82302,Peter Faber,acteur,"Peter Faber,Фабер, Петер,Петер Фабер Peter Faber - Faber, Peter Peter Faber",Peter_Faber
93302,Q82538,Mike van Diem,tv- en filmregisseur,"Mike van Diem,Ван Дим, Майк,Մայք վան Դիմ,Майк Ван Дим Mike van Diem - Diem, Mike van ","Diem,_Mike_van"
163140,Q82985,Step Vaessen,journaliste,"Step Vaessen Step Vaessen - Vaessen, Step ","Vaessen,_Step"
151680,Q120167,Xandra Schutte,literatuurcriticus De Groene Amsterdammer,"Xandra Schutte Xandra Schutte - Schutte, Xandra ","Schutte,_Xandra"
84659,Q120197,Peter Bos,acteur,"Peter Bos Peter Bos - Bos, Peter ","Bos,_Peter"
88538,Q126035,Rudi Carrell,zanger/komiek,"Rudi Carrell Rudi Carrell - Carrell, Rudi ","Carrell,_Rudi"
164629,Q129079,Paul Verhoeven,filmregisseur,"保羅·費爾胡芬,保罗·费尔胡芬,პოლ ვერჰოვენი,파울 페르후번,Paul Verhoeven (hollänesche Filmregisseur),Пол Верховен,Paul Verhoeven,ポール・バーホーベン,פול ורהובן,پل ورهوفن,ვერჰოვენი,Verhoeven,Верхувен Пауль,Пол Верхувен,Верхувен, Пауль,Polas Verhovenas,Верхувен Пол,Верховен Пол,保羅韋浩雲,Paul Verhoeven,Пауль Верхувен,バーホーベン,Paul verhoven,パウル・フェアヘーフェン,Паул Фергувен,ポール・ヴァーホーヴェン,Верхувен, Пол,保罗·弗胡芬,保罗·范霍文,Верхувен П. Paul Verhoeven - Verhoeven, Paul Paul Verhoeven",Paul_Verhoeven
114208,Q133526,Bob de Jong,"schaatser, marathonschaatser","보프 더 용,ボブ・デヨング,Боб де Йонг,Де Йонг, Боб,Боб де Ионг,Bob de Jong,Bobs de Jongs,Боб дэ Ёнг,보프 요하너스 카롤뤼스 더 용,Боб Де Йонг,보프 더용,봅 데 용,보브 더 용,봅 더 용,Йонг, Боб де,밥 데 용,밥데용,봅데용,봅 데용,Боб де Йонг Bob de Jong - Jong, Bob de ","Jong,_Bob_de"
81540,Q137261,Rudolf van den Berg,toneelregisseur,"ルドルフ・ヴァン・デン・ベルフ,Rudolf van den Berg,Берг, Рудольф ван ден Rudolf van den Berg - Berg, Rudolf van den ","Berg,_Rudolf_van_den"
158988,Q139438,Jan Timman,schaker,"Тимман, Ян,Ян Тиман,Jans Timmans,യാൻ ടിമ്മൻ,Ян Тімман,Jan Timman,Ян Тимман Jan Timman - Timman, Jan ","Timman,_Jan"
156371,Q142733,Bob Spaak,sportjournalist,"Bob Spaak Bob Spaak - Spaak, Bob Bob Spaak",Bob_Spaak
126619,Q143993,Hannie Lips,tv-omroepster,"Hannie Lips Hannie Lips - Lips, Hannie Hannie Lips",Hannie_Lips
109693,Q151856,Han Hollander,sportjournalist,"Han Hollander Han Hollander - Hollander, Han Hartog Hollander",Han_Hollander
104030,Q154959,Hugo de Groot,geleerde 17e eeuw,"휘호 그로티우스,Гроций Гуго,Ugo Grozio,Хуго Гроций,Хуго Гроције,Гуга Гроцый,Hugo de Groot,گروتسىيي گۋگو,Hugo Grocije,Hugo Grotius,هوگو گرتیوس,Hugo Grocijs,Гуго Гроцій,هوجو جروشيوس,Гроций,Ούγκο Γκρότιους,Հուգո Գրոտիոս,Hugo Grócio,হুগো গ্রোশিয়াস,Hugo Grocio,Hugo Grocjusz,Ugo Grozju,هوجو جروتيوس,Hüqo Qrotsi,Гроций, Гуго,フーゴー・グローティウス,Grocïý Gwgo,胡果·格老秀斯,הוגו גרוטיוס,Hugon Grotius,Гроций Гуго,Гуго Гроций,フーゴー・グロチウス,Гуга дэ Гроат,Гроциус, Гуго,Хуго Гротиус,格勞秀士,Grocjusz,Hugo de Groot,Hugo Van Groot,Hugo Grotius,Гуго Гроот,흐로티위스,葛羅休斯,Гуго,グロティウス,格老秀斯,フーゴー・グロティウス,Huigh de Groot,Hugo Grocijus,Гроций,Huig de Groot,Гроот Гуго де,Huig van Groot,格勞秀斯,Hugas Grocijus,Grotius,Hugo Grocius,Hugo Grocio,Гроциус Гуго,Гроот, Гуго де,Hugo de Grotius,Grocio,Гуго де Гроот,Гуго Гроциус,Гроцијус,グローティウス,Гуґо Ґроцій,グロチウス,Grozio,Húgó Grótíus,휘호 흐로티위스,그로티우스,Гроций Г. Hugo de Groot - Groot, Hugo de Hugo de Groot",Hugo_de_Groot
137363,Q158394,Cees Nooteboom,schrijver,"Нотебоом, Сейс,Cees Nooteboom,سیس نوتبوم,セース・ノーテボーム,塞斯·諾特博姆,세스 노테봄,塞斯·诺特博姆,Сэйс Нотэбоом,Кеес Ноотебоом,Cees Noteboom,Нотебоом Сейс,Cornelis Johannes Jacobus Maria Nooteboom,Сейс Нотебоом,Nooteboom,체스 노테붐,Нотебоом,Нотебоом С.,Nooteboom Cees,Кес Нотебом,Сейс Нотебом Cees Nooteboom - Nooteboom, Cees ","Nooteboom,_Cees"
82929,Q159475,Corry Brokken,zangeres,"Коррі Броккен,Քորի Բրոքքեն,コリー・ブロッケン,Corry Brokken,קורי ברוקן,Кори Брокен,Корри Броккен,Kori Brokken,Kori Broken,Corry Brokken,Brokken,Corrie Brokken,Kori Broken Corry Brokken - Brokken, Corry ","Brokken,_Corry"
131357,Q166439,KimLian van der Meij,"zangeres, presentatrice","Kim-Lian,Կիմ-Լիան,Kim-Lian van der Meij,Kim-Lian,Kim van der Mey,Kim Lian,Kim Lian van der Meij Kim-Lian van der Meij - Meij, Kim-Lian van der Kim-Lian van der Meij",Kim-Lian_van_der_Meij
105211,Q173972,Ruud Gullit,"voetballer, trainer, bondscoach, voetbalanalyticus","Rūds Gullits,რუუდ გულიტი,뤼트 휠리트,Гуллит, Рууд,รืด คึลลิต,رود گولیت,Рууд Гулит,רוד חוליט,Rud Gulit,路德·古烈治,路德·古利特,Ρουντ Γκούλιτ,Rudolphus Gullit,Рууд Гулліт,رود خوليت,ルート・フリット,Руд Гулит,Ruud Gullit,রুড হুলিট,Рууд Гуліт,Gullits,루드 훌리트,굴리트,훌리트,Rūds Gulits,루트 굴리트,Rud Gulit,Гуллит,古烈治,Ruud Gullet,Руд Гулит,Ruud Gullitt,Ґулліт Рууд,古力特,Rūds Dils,루드 굴리트,路德·古烈治,古利特,Ruud Gullit,Гулліт Рууд,뤼트 휠릿,جائزة الكرة الذهبية الأوروبية,رود غوليت,古列治,Рюд Гулит,Гуллит Р.,Гулит,Рюд Гюллит,Гуллит Рууд,রুড গুলিত,휠릿,Gullit,রুড গুলিট,ルート・グーリット,Rīds Gilits,Руд Гуллит,Rudi Dil,Рууд Гуллит,Ruud Dil Ruud Gullit - Gullit, Ruud ","Gullit,_Ruud"
248779,Q183508,Tijs Verwest,"diskjockey, artiestennaam van Tijs Verwest","Tiesto,Tijesto,Tiësto,DJ Tiësto,تييستو,Тијесто,Tijs Verwest,Тиесто,ทีเอสโต,提雅斯多,티에스토,ტიესტო,ティエスト,تییستو,טייסטו,دی جی تیستو,تیستو,DJ Tiësto,Drumfire,ტიას ვერვესტი,Тиесто,DJ Limited,Dj. tiesto,Thijs Verwest,Тієсто,DJ Tiesto,دي جي تييستو,Tiesto,Tijs Michiel Verwest,Tiësto,Paradise In Dubs,ტიას ფერვესტი,Вервест Тийс,เทียสโต,Tiёsto,Tijss Mihals Vervests,Tom Ace,دی‌جی تیستو,טיאסטו,DJティエスト,די ג'יי טייסטו,დიჯეი ტიესტო,Tijs Verwest,Dj tiësto,Тийс Вервест,Dj. Tiësto,טייס ורווסט,Dj tiesto,Вервест, Тийс,Passenger,Тијс Фервест,Dj Tiësto,Teiss Mihīls Vervests,Steve Forte Rio,Tïesto,Da Joker,Hammock Brothers,Roze,Allure,Stray Dog,Dj Tiesto Tijs Verwest - DJ Tiësto ",
225333,Q195704,Romy Haag,"presentatrice, actrice, zangeres","Romy Haag,Chez Romy Haag,Chéz Romy Haag Romy Haag - Haag, Romy ","Haag,_Romy"
118487,Q202489,Gerrit Komrij,schrijver/columnist Nederland,"Комрей, Геррит,Gerrit Komrij,Gerhardus Komrij,Геррит Комрей Gerrit Komrij - Komrij, Gerrit ","Komrij,_Gerrit"
150936,Q205223,Pi Scheffer,orkestleider,"Pi Scheffer Pi Scheffer - Scheffer, Pi Johannes Scheffer",Pi_Scheffer
102963,Q205456,Theo van Gogh,filmregisseur/schrijver/tv-presentator,"תאו ואן גוך,特奥·梵高,ثيو فان غوخ,Тео ван Гог,Тэадор ван Гог,تئودور ون گوگ,Theodorus van Gogh,Theo Van Gogh,தியோ வன் கோ,特奧·梵谷,テオ・ファン・ゴッホ,特奧·梵高,Theo van Gogh,Гог, Теодор ван,Teo van Gog,תיאו ואן-גוך,تئو ون گوک,تئو ون گوگ,ثيو فان كوخ,ثيو فان جوخ,Гог, Теодоор ван,תאו ון-גוך,Теодор ван Гог,תאו ואן-גוך,Théodore van Gogh,תאו ון גוך,תיאו ון גוך,Van Gogh,תיאו ואן גוך,Гог, Тео ван Theo van Gogh - Gogh, Theo van Theodoor van Gogh",Theo_van_Gogh
87277,Q224866,Xander de Buisonjé,zanger Volumia!,"Xander de Buisonjé,Xander de Buisonje Xander de Buisonjé - Buisonjé, Xander de ","Buisonj%C3%A9,_Xander_de"
82532,Q225831,John Blankenstein,voetbalscheidsrechter,"جون بلانكينستاين,John Blankenstein John Blankenstein - Blankenstein, John ","Blankenstein,_John"
82543,Q229046,Fanny BlankersKoen,atlete,"Fannija Blankersa-Kūna,Fanny Blankers-Koenová,파니 블랑커스-쿤,Fani Blankers-Kun,فاني بلانكيرس كوين,فانی بلانکرس-کون,Fanny Blankers-Koen,פאני בלנקרס-קון,Фани Бланкерс-Кун,Фанни Бланкерс-Кун,フランシナ・ブランカース＝クン,Бланкерс-Кун,Fanny Blankers Koen,فنی بلانکرس-کوئن,Бланкерс-Кун, Франсина,Blankersa-Kūna,Fanny Koen,Blankers,Fanny Blankers - Koen,פאני בלנקרס-קואן,クン夫人,ファニー・ブランカース＝クン,Blankers-Koen,Бланкерс-Коэн Фанни,Francina Koen,Бланкерс-Коэн,フランシナ・ブランカース・クン,Francina Blankers-Koen,Фанни Бланкерс-Коэн,Fanny Blankers-Koen,空飛ぶ主婦,Бланкерс-Коэн, Фанни,Фанни Бланкерс-Кун,Francina Elsje Blankers-Koen Fanny Blankers-Koen - Blankers-Koen, Fanny ","Blankers-Koen,_Fanny"
151479,Q229964,Teddy Scholten,zangeres Nederland,"Teddy Scholten,Теди Схолтен,Схолтен, Тедди,Tedi Sholten,טדי סחולטן,Тедди Шольтен,Шольтен, Тедди,Dorothea Margaretha Scholten-van Zwieteren,Тедди Схолтен,Teddy van Swieteren,Dorothea Margaretha Scholten-van Swieteren,Teddy van Zwieteren,Tedi Sholten,Tedi Šolten,Teddy Scholten-van Swieteren,Sholten Teddy Scholten - Scholten, Teddy Dorothea Margaretha Scholten-van Zwieteren",Teddy_Scholten
105596,Q232400,Hella Haasse,schrijfster,"Хаассе, Хелла,Hella S. Haasse,Hella Haase,Hella Haasse,C.J. van der Sevensterre,Haasse, Hella S.,Helene Serafia Haasse,Hella S.Haasse,Hella S Haasse,Hella Haasse,Hella S. Haasse,Hella Serafia Haasse,Hélène Serafia Haasse,C. J. van der Sevensterre,Haasse Hella Haasse - Haasse, Hella ","Haasse,_Hella"
101485,Q235341,Yvonne van Gennip,schaatsster,"إيفون فان غينيب,Ивонн ван Геннип,Yvonne van Gennipová,איבון ואן חניפ,ایفون فان خنیپ,Yvonne van Gennip,イヴォンヌ・ファン・ヘニップ,이보너 판 헤닙,Ивонна ван Геннип,Gennip,Ивонне ван Геннип,Yvonne van Gennip,ایوان فان گنیپ,Gennip, Yvonne van Yvonne van Gennip - Gennip, Yvonne van ","Gennip,_Yvonne_van"
212161,Q235777,Ewout Genemans,"acteur, presentator","Генеманс, Эвоут,Ewout Genemans,Էվաութ Խենեմանս,Էվուտ Գենեմասն,Էվուտ Գենեմանս,Эвоут Генеманс Ewout Genemans - Genemans, Ewout Ewout Genemans",Ewout_Genemans
113472,Q238616,Joris Ivens,cineast Nederland,"Յորիս Իվենս,Іорыс Івенс,Joris Ivens,Ивенс, Йорис,ヨリス・イヴェンス,尤里斯·伊文思,Йорис Ивенс Joris Ivens - Ivens, Joris Joris Ivens",Joris_Ivens
95108,Q239471,Candy Dulfer,saxofoniste,"坎迪·杜尔费,Далфер, Кэнди,キャンディ・ダルファー,Kandeija Dilfere,甘蒂·達芙,کندی دالفر,Candy Dulfer,Канди Дулфер,Dulfer,Kendija Dalfere,坎迪·杜爾費,キャンディー・ダルファー,坎迪·杜尔费,کندی دولفر,Кэнди Далфер,Candy Dulfer,Kendija Dilfere,Dilfere Candy Dulfer - Dulfer, Candy ","Dulfer,_Candy"
150781,Q239522,Annie M.G. Schmidt,schrijfster Nederland,"Annie M.G. Schmidt,Шмидт, Анни,آنی ام خی شمیت,אנני שמידט,アニー・M・G・シュミット,Anna Maria Geertruida Schmidt,Annie M. G. Schmidt,انی ام خی شمیت,Annie M.G. Schmidt,Анни Шмидт,Annie M. G. Schmidtová,Annie M G Schmidt,Annie MG Schmidt,Annie Schmidt,Anna Maria Geertruida Schmidt,Schmidt,Annie M. G. Schmidt,Шмидт Анни,Anne M.G. Schmidt Annie M.G. Schmidt - Schmidt, Annie M.G. Anna Maria Geertruida Schmidt",Annie_M.G._Schmidt
141873,Q239916,Ellen Pieters,actrice,"Ellen Pieters Ellen Pieters - Pieters, Ellen ","Pieters,_Ellen"
91411,Q243132,Ellen ten Damme,actrice,"Ellen ten Damme Ellen ten Damme - Damme, Ellen ten Ellen ten Damme",Ellen_ten_Damme
157531,Q261425,Ria Stalman,"discuswerpster, tv-presentatrice","リア・スタルマン,Ria Stalmanová,Ria Stalman,Stalman Ria Stalman - Stalman, Ria ","Stalman,_Ria"
103735,Q262886,Rijk de Gooyer,acteur,"Rijk de Gooyer Rijk de Gooyer - Gooyer, Rijk de Rijk de Gooyer",Rijk_de_Gooyer
245269,Q269679,Wisse Smit,programmamaker,"Mabel Wisse Smit,Princesa Mabel de Orange-Nassau,Prințesa Mabel a Olandei,Công nương Mabel của Orange-Nassau,Mabel av Oranien-Nassau,마벨 베셀 스미트,Princess Mabel of Orange-Nassau,Мейбл, принцесса Оранско-Нассау,Prinses Mabel,Princess Mabel d'Orange-Nassau,Wisse Smit,Stamboom Prinses Mabel van Oranje-Nassau,Mabel d'Orange-Nassau,Stamboom Mabel Wisse Smit,принцесса Оранско-Нассау Мейбл,Prinses Mabel van Oranje-Nassau,Prinţesa Mabel a Olandei,Mabel van Oranje-Nassau van Amsberg,Mabel van Oranje Wisse Smit - Smit, Wisse ",
90334,Q271343,Nelli Cooman,atlete Nederland,"Nelli Cooman,Nelli Coomanová,Nelly Cooman,Nellie Cooman,Nelli Fiere-Cooman,Cooman,Nelli Cooman-Fiere Nelli Cooman - Cooman, Nelli ","Cooman,_Nelli"
132184,Q272703,Marcella Mesker,"tennisster, tv-presentatrice, sportverslaggeefster","مارسلا مسکر,Marcella Mesker,Mesker Marcella Mesker - Mesker, Marcella ","Mesker,_Marcella"
129706,Q273050,Sylvia Millecam,cabaretière/actrice,"Sylvia Millecam,Миллекам, Сильвия,Millecam,Сильвия Миллекам Sylvia Millecam - Millecam, Sylvia Sylvia Maria Millecam",Sylvia_Millecam
114204,Q279894,Ate de Jong,filmregisseur Nederland,"Ate de Jong Ate de Jong - Jong, Ate de ","Jong,_Ate_de"
139835,Q287157,Jetty Paerl,zangeres,"Yetti Parl,Єтті Парл,Յեթի Փերլ,Jetty Paerl,Парл, Йетти,Paerl,Йетти Парл,Jetje van Radio Oranje,Jetty Pearl,Jetty Paerl Jetty Paerl - Paerl, Jetty ","Paerl,_Jetty"
106598,Q288283,Femke Halsema,"fractievoorzitter GroenLinks Tweede Kamer, lid Tweede Kamer GroenLinks, criminologe","Femke Halsema,Фемке Халсема,فمكا هالسما,Halsema Femke Halsema - Halsema, Femke ","Halsema,_Femke"
128784,Q288771,Hans van Mierlo,politicus D66: min. BuZa,"Hans van Mierlo,Ioannes van Mierlo,هانس فان ميرلو,Мирло, Ханс ван,Ганс ван Мірло,Ханс ван Мирло Hans van Mierlo - Mierlo, Hans van ","Mierlo,_Hans_van"
145049,Q291116,Sandra Reemer,zangeres/tv-presentatrice,"Sandra Reemer,סנדרה רימר,Xandra,Barbara Alexandra Reemer,Reemer,Kroepoekje Sandra Reemer - Reemer, Sandra ","Reemer,_Sandra"
114827,Q299912,Jerney Kaagman,zangeres,"Jerney Kaagman,Christina Henriette Kaagman Jerney Kaagman - Kaagman, Jerney ","Kaagman,_Jerney"
166333,Q301365,Pieter van Vollenhoven,echtgenoot prinses Margriet,"Pieter van Vollenhoven Pieter van Vollenhoven - Vollenhoven, Pieter van ","Vollenhoven,_Pieter_van"
156497,Q301952,Rob Stenders,presentator,"Rob Stenders Rob Stenders - Stenders, Rob Rob Zieltjens",Rob_Stenders
77196,Q303878,Ab Baars,saxofonist,"Ab Baars Ab Baars - Baars, Ab ","Baars,_Ab"
103462,Q305506,Jan de Haan,programmamaker,"Jan de Haan Jan de Haan - Haan, Jan de ","Haan,_Jan_de"
95109,Q320410,Hans Dulfer,saxofonist,"Hans Dulfer,ハンス・ダルファー,ダルファー Hans Dulfer - Dulfer, Hans ","Dulfer,_Hans"
244939,Q320567,Edwin Brienen,programmamaker,"Edwin Brienen Edwin Brienen - Brienen, Edwin ",
123395,Q321634,Henk van Lijnschooten,programmamaker,"Henk van Lijnschooten,Michiel van Delft,Lijnschooten,Huggens,Hendrikus Cornelis van Lijnschooten,Ted Huggens Henk van Lijnschooten - Lijnschooten, Henk van ","Lijnschooten,_Henk_van"
159023,Q322888,Gert Timmerman,zanger,"Gert Timmerman,Gert Jan Timmerman,Gert Timmerman Gert Timmerman - Timmerman, Gert ","Timmerman,_Gert"
101841,Q323190,Karel Glastra van Loon,schrijver/journalist,"Karel Glastra van Loon,カレル・フラストラ・ファン・ローン,ון לון, קארל חלסטרה,,カレル・ファン・ローン,K. R. Glastra van Loon,Karel Reinier Glastra van Loon,K. R. G. van Loon,Karel van Loon Karel Glastra van Loon - Glastra van Loon, Karel ","Glastra_van_Loon,_Karel"
127110,Q326291,Robert Long,zanger/tv-presentator,"Роберт Лонг,Robert Long,Jan Gerrit Bob Arend Leverman,Kristof Rutsaert,Bob Leverman Robert Long - Long, Robert Jan Gerrit Bob Arend Leverman",Robert_Long
83128,Q327311,Jaap Blonk,voordrachtkunstenaar,"Jaap Blonk,Blonk Jaap Blonk - Blonk, Jaap ","Blonk,_Jaap"
171732,Q327600,Jack Wouterse,acteur,"Jack Wouterse,Wouterse Jack Wouterse - Wouterse, Jack Jacobus Albertus Wouterse",Jack_Wouterse
153596,Q327891,Johan Simons,toneelregisseur,"Johan Simons Johan Simons - Simons, Johan ","Simons,_Johan"
253307,Q329498,Krayenhoff,programmamaker,"کرنلیوس رودولفوس تئودوروس کراینهوف,Крайенгоф, Корнелий Рудольф Теодор,Cornelis Rudolphus Theodorus Krayenhoff,Cornelius Rudolphus Theodorus baron Krayenhoff,Cornelis Krayenhoff,Cornelis Rudolphus Theodorus baron Krayenhoff,Cornelius Rudolf Theodor Krayenhoff,Cornelius Rudolphus Theodorus Krayenhoff,Krayenhoff,Корнелий Рудольф Теодор Крайенгоф - Krayenhoff ",
128225,Q329635,Rob Maas,journalist,"Rob Maas Rob Maas - Maas, Rob ","Maas,_Rob"
162364,Q330084,Abraham Tuschinski,dir. Tuschinski Theaters NV,"Abraham Icek Tuschinski,Тушински, Абрахам Ицек,Абраам Ицек Тушински,Abraham Tuschinski,Tuschinski,Абрахам Ицек Тушински Abraham Tuschinski - Tuschinski, Abraham ","Tuschinski,_Abraham"
92479,Q330365,Cees Dekker,"hoogleraar biofysica, nanotechnoloog","Cees Dekker,سیس دکر Cees Dekker - Dekker, Cees ","Dekker,_Cees"
79004,Q330736,Gerbrand Bakker,schrijver,"赫布兰德·巴克,Баккер, Гербранд,Gerbrand Bakker Gerbrand Bakker - Bakker, Gerbrand ","Bakker,_Gerbrand"
162614,Q335569,Georgina Verbaan,actrice,"Georgina Verbaan,Джорджина Вербаан Georgina Verbaan - Verbaan, Georgina Georgina Carolina Verbaan",Georgina_Verbaan
99148,Q336607,Harrie Geelen,regisseur/schrijver/tekenaar,"Harrie Geelen,Geelen Harrie Geelen - Geelen, Harrie Harrie Petrus Egidius Alphonsus Geelen",Harrie_Geelen
83036,Q336943,Jan Blokker,"programmamaker, schrijver, columnist, journalist","ヤン・ブロッケル,Jan Blokker,Jan Andries Blokker Jan Blokker - Blokker, Jan Jan Andries Blokker",Jan_Blokker
136831,Q336961,Ed Nijpels,politicus VVD/burg. Breda/min. VROM/voorz. WNF,"Ed Nijpels,Nijpels Ed Nijpels - Nijpels, Ed ","Nijpels,_Ed"
167198,Q337145,Coen van Vrijberghe de Coningh,acteur/cabaretier,"Coen van Vrijberghe de Coningh Coen van Vrijberghe de Coningh - Vrijberghe de Coningh, Coen van Coenraad Lodewijk Dirk van Vrijberghe de Coningh",Coen_van_Vrijberghe_de_Coningh
