gtaa,wikidata,label,description,lookup,bengwiki
122753,Q4770316,Meindert Leerling,politicus Nederland RPF kamerlid,"Meindert Leerling Meindert Leerling - Leerling, Meindert ","Leerling,_Meindert"
83034,Q4774353,IJf Blokker,acteur,"Barend Servet,IJf Blokker IJf Blokker - Blokker, IJf IJf Blokker",IJf_Blokker
99461,Q4775753,Anton Foek,programmamaker,"Anton Foek Anton Foek - Foek, Anton ","Foek,_Anton"
138782,Q4779519,Joost Oranje,journalist,"Joost Oranje Joost Oranje - Oranje, Joost ","Oranje,_Joost"
101302,Q4779704,Jochem van Gelder,tv-presentator,"Jochem van Gelder Jochem van Gelder - Gelder, Jochem van Jochem Willibrordus Adrianus van Gelder",Jochem_van_Gelder
95648,Q4786485,Pete Felleman,programmamaker,"Pete Felleman Pete Felleman - Felleman, Pete ","Felleman,_Pete"
114097,Q4797924,Guido Jonckers,acteur,"Guido Jonckers Guido Jonckers - Jonckers, Guido Guido Jonckers",Guido_Jonckers
132058,Q4798688,Martijn Muijs,"diskjockey, winnaar Hey DJ wedstrijd","Martijn Muijs Martijn Muijs - Muijs, Martijn ","Muijs,_Martijn"
115964,Q4802644,Ian Kerkhof,"regisseur, schrijver","Aryan Kaganof,Ian Kerkhof Ian Kerkhof - Kerkhof, Ian ","Kerkhof,_Ian"
116360,Q4802644,Aryan Kaganof,"regisseur, schrijver","Aryan Kaganof,Ian Kerkhof Aryan Kaganof - Kaganof, Aryan ","Kaganof,_Aryan"
155787,Q4805810,Nico Steenbergen,programmamaker,"Nico Steenbergen Nico Steenbergen - Steenbergen, Nico ","Steenbergen,_Nico"
247181,Q4807769,Eline la Croix,programmamaker,"Eline la Croix Eline la Croix - Croix, Eline la ",
148102,Q4813867,Karel Roskam,acteur,"Karel Roskam Karel Roskam - Roskam, Karel ","Roskam,_Karel"
151487,Q4819771,Jan Scholtens,journalist,"Jan Scholtens Jan Scholtens - Scholtens, Jan ","Scholtens,_Jan"
145237,Q4826104,Pim Reijntjes,journalist,"Pim Reijntjes Pim Reijntjes - Reijntjes, Pim Pim Reijntjes",Pim_Reijntjes
90992,Q4828159,Alexander Curly,"zanger, pseudoniem Harm Breemer","Alexander Curly Alexander Curly - Curly, Alexander ","Curly,_Alexander"
241807,Q4845546,Ron Bisschop,programmamaker,"Ron Bisschop Ron Bisschop - Bisschop, Ron ",
242302,Q4855339,Margreet ter Woerds,programmamaker,"Margreet ter Woerds Margreet ter Woerds - Woerds, Margreet ter ",
157307,Q4865113,Bart Spring in 't Veld,programmamaker,"Bart Spring in 't Veld Bart Spring in 't Veld - Spring in 't Veld, Bart ","Spring_in_%27t_Veld,_Bart"
164012,Q4882012,Joey van der Velden,acteur,"Joey van der Velden Joey van der Velden - Velden, Joey van der ","Velden,_Joey_van_der"
84816,Q4882498,Jurre Bosman,regisseur,"Jurre Bosman Jurre Bosman - Bosman, Jurre ","Bosman,_Jurre"
86044,Q4885341,Ben Bril,bokser/scheidsrechter,"Ben Bril Ben Bril - Bril, Ben ","Bril,_Ben"
